 = 231
crawl = 11
crawled = 15
crazy = 7
creaked = 2
created = 4
creating = 4
creation = 2
creature = 10
creatures = 10
credible = 10
credit = 6
creep = 7
creepy = 10
creepybluff = 4
crept = 20
crest = 2
crestedon = 2
crevice = 13
crevices = 7
crew = 87
crewan = 2
crewand = 2
crewchapter = 2
crewevery = 2
crewhad = 2
crewill = 2
crewmost = 2
crewof = 4
crews = 20
crewswere = 2
crewto = 7
cried = 105
crieda = 2
criedcatch = 7
criedthe = 2
criedyoull = 7
cries = 15
crimson = 7
critical = 4
cronies = 2
cross = 24
crossbar = 2
crossed = 13
crossedby = 2
crosspiece = 2
crouching = 2
crowd = 4
crowded = 6
crowding = 9
crowdof = 2
crows = 2
crowsnest = 10
crowsnesta = 2
crowsnestat = 2
crowsnestchapter = 7
cruel = 4
crunching = 7
crunchinggrinding = 7
crush = 12
crushed = 20
crushing = 7
crushthink = 2
crust = 10
crustaceans = 2
crustor = 7
cry = 36
cryfor = 2
crying = 7
cryno = 7
cryof = 2
cuddy = 7
cumbersome = 2
cup = 4
cuplike = 7
curator = 7
curiosity = 10
curiously = 7
curiouslygiven = 2
curland = 7
curled = 9
curling = 4
curlyhaired = 7
current = 2
currents = 7
curtain = 4
cut = 49
cutaway = 2
cutthe = 7
cylindrical = 7
dad = 11
daddy = 2
damage = 2
damaged = 4
damages = 6
damagesif = 2
dame = 2
dandy = 2
danger = 45
dangera = 2
dangerfor = 2
dangerous = 2
dangers = 9
dangersignal = 2
dangerthreatenedsnow = 7
dangerwas = 7
dare = 2
dared = 14
daredtake = 2
darerisk = 7
daring = 9
daringbut = 2
dark = 40
darkand = 2
darkandand = 7
darkby = 7
darkdark = 2
darkened = 7
darkeningsky = 4
darkness = 25
darkness8 = 2
darknessinland = 2
darkthe = 2
dart = 7
darted = 9
dartedout = 2
dash = 7
data = 2
date = 11
daughter = 4
david = 7
davits = 2
davitsastern = 2
dawn = 22
dawntmorrow = 2
day = 103
dayarchie = 2
daybillytopsail = 7
daychapter = 2
daycold = 2
daydream = 7
dayhethought = 2
daylight = 9
days = 52
daysof = 2
daythe = 7
daytheformer = 2
daytime = 7
dead = 58
deadand = 2
deadarchie = 2
deadly = 4
deadsure = 7
deal = 12
dealing = 4
dealwith = 2
dear = 7
death = 19
deathin = 7
debt = 2
deceived = 7
deceivedher = 2
deceivinghim = 2
decently = 7
deceptive = 2
decide = 2
decided = 11
decision = 2
decisionhe = 7
decisively = 2
deck = 40
deckevery = 2
deckhis = 2
decks = 8
decksarchie = 2
deckshes = 2
deckstood = 2
decktake = 2
deckthe = 2
deckwith = 2
declared = 9
declarewar = 9
declined = 2
declivity = 7
deductible = 2
deed = 7
deedeli = 7
deeds = 7
deep = 73
deepened = 2
deepening = 2
deeper = 11
deepervalleys = 2
deepest = 2
deepwater = 7
defect = 4
defective = 6
defend = 2
deign = 2
delay = 8
delaybut = 2
deletions = 2
delight = 20
delighted = 13
delightedly = 2
delightparticularly = 2
delightsas = 7
delivered = 2
deluxe = 7
demand = 2
demanded = 2
demandedbilly = 2
demandedlong = 2
demandedmaybe = 2
demandedwhen = 2
denied = 2
dense = 7
density = 2
departed = 7
departing = 2
departure = 2
depend = 7
depends = 12
depicted = 2
deprivation = 2
deprivations = 7
depth = 11
depths = 11
depthsbut = 7
derisive = 2
derivative = 4
derivativeworks = 2
derive = 2
derivedfrom = 2
descend = 2
descended = 9
descending = 2
descent = 11
described = 12
describedwell = 2
describing = 9
description = 7
descriptions = 7
deserve = 2
deserving = 2
design = 2
designed = 4
designing = 2
desired = 4
desireitwas = 7
despair = 11
despairingly = 2
desperate = 16
desperatecase = 2
desperately = 15
desperatethat = 7
despised = 2
despite = 2
destroy = 7
destroyall = 2
destruction = 9
destructionarchie = 2
destructionthe = 7
detach = 2
detached = 7
detachedfragments = 7
determination = 7
determinationto = 7
determine = 8
determined = 26
determinedbilly = 2
determinedby = 2
determinedchapter = 7
determinedhe = 7
determinedupon = 7
determines = 7
deterred = 7
developedstand = 2
devilfish = 25
devilfishbilly = 7
devils = 7
devoted = 2
diamond = 7
dicksoncall = 2
dictator = 80
dictators = 8
dictatorthe = 2
dictatorwith = 2
did = 115
didgo = 7
didhe = 7
didnt = 36
didntgive = 7
didnti = 2
didntstart = 7
didthey = 2
die = 2
died = 7
difference = 2
different = 2
difficult = 7
difficulties = 9
difficultin = 7
difficulty = 23
diffidence = 2
dignity = 4
dignitycapn = 2
diligently = 2
dim = 2
diminished = 2
dinner = 12
dinnercakes = 2
dipping = 7
direct = 2
directed = 10
directedan = 2
direction = 22
directionfrom = 7
directionin = 2
directions = 4
directionskipper = 7
directly = 11
directlythrough = 2
directorgbnewbypglaforgsection = 2
dirty = 7
disabled = 7
disappear = 2
disappeared = 7
disappearedshes = 7
disappearedtis = 7
disappearno = 2
disappointed = 2
disappointment = 10
disappointmentsure = 2
disarrayed = 2
disasteri = 2
discharge = 4
discharged = 2
disclaim = 2
disclaimer = 6
disclaimers = 2
disclose = 7
disclosed = 4
disclosingit = 2
discomfort = 2
disconcert = 7
discontinue = 2
discouraged = 2
discover = 4
discovered = 4
discovers = 7
discussing = 2
disgrace = 2
disgust = 7
disgusted = 7
dishonour = 2
dishonourable = 2
disk = 2
dislodgedand = 2
dismayed = 2
dismissed = 2
dispersed = 11
disperseonce = 2
display = 4
displayed = 2
displaying = 6
displayingperforming = 2
displays = 10
disproportionately = 7
dispute = 6
disregarded = 7
disregarding = 2
distance = 34
distancefrom = 2
distancethree = 2
distant = 4
distantto = 2
distinct = 7
distinctlyan = 7
distinguish = 2
distinguished = 10
distract = 7
distress = 11
distribute = 10
distributed = 10
distributedproofreading = 7
distributedthis = 2
distributing = 14
distribution = 6
distributionmust = 2
distributor = 2
disturbance = 2
dive = 13
dived = 13
divedfor = 7
diveof = 2
diverge = 4
divergingpaths = 2
divethe = 2
divided = 9
diving = 2
dnew = 7
do = 110
doctor = 34
doctorcrossing = 2
doctorthe = 2
does = 19
doesnt = 7
doesntstrike = 7
dog = 172
dogas = 7
doggedly = 7
doggedway = 7
dogs = 36
dogstruck = 7
dogtrot = 7
dogwas = 7
dogwhy = 7
dogwood = 2
dohe = 7
doin = 4
doing = 12
dollar = 2
domain = 16
don = 2
donate = 4
donateinternational = 2
donationmethods = 2
donations = 24
donations1 = 2
donationsto = 2
done = 27
donehark = 2
donors = 2
dont = 47
dontthe = 2
dontyou = 7
doomed = 10
door = 10
doorlike = 7
doormorning = 2
dopractically = 2
dory = 31
dorya = 7
doryno = 7
dorystill = 7
dots = 9
dotted = 2
doubt = 30
doubted = 12
doubtfuli = 2
doubtless = 2
doubtlesshave = 2
doubttheyll = 7
down = 177
downbilly = 2
downdownuntil = 7
downfeared = 2
downi = 7
downim = 7
downit = 7
downloading = 2
downlying = 7
downsure = 2
downtheys = 7
downward = 2
doyes = 7
doyou = 12
doyour = 2
dozen = 22
dozenmen = 2
dozenseparate = 2
dozentimes = 2
dozing = 7
dr = 18
drag = 2
dragged = 7
draggedhim = 2
dragging = 17
draggingtheir = 2
draw = 16
drawing = 7
drawingbreath = 2
drawinghim = 2
drawl = 7
drawled = 13
drawn = 6
dread = 10
dreaded = 9
dreadful = 11
dreadfuldangersure = 2
dream = 2
dreamed = 2
dreamedof = 2
dreamharrdaleeskipper = 2
dreamsthey = 2
dreamthat = 2
drear = 7
dress = 4
dressed = 2
drew = 34
drewnearer = 2
dried = 2
drift = 28
drifted = 4
driftedthrough = 2
driftice = 11
drifting = 28
dripping = 2
drippingspace = 7
drive = 6
driven = 6
drivin = 12
driving = 23
drivingout = 2
drop = 7
dropeverything = 2
dropped = 18
droppedbilly = 2
drops = 10
dropthe = 7
drove = 4
drown = 16
drowned = 18
drowning = 7
drowsiness = 2
drunken = 2
dry = 7
dryha = 7
drying = 10
drylyarchie = 2
dubious = 2
dubiously = 2
duck = 10
due = 11
duff = 2
dull = 22
duncan = 7
duncanauthor = 7
duncanrelease = 7
duncansecond = 7
dunderhead = 2
duration = 2
during = 9
dusk = 26
duskapproached = 7
dust = 2
duties = 9
duty = 40
dutycapn = 2
dutywhich = 2
dwell = 7
dwindle = 2
dye = 2
dying = 2
dyinim = 7
dyou = 2
e = 11
each = 30
eachothers = 7
eachtime = 2
eager = 9
eagerly = 11
eagerlyi = 2
eagerlywith = 2
eagerness = 2
eaglefourth = 7
ear = 4
earchapter = 2
earlier = 7
early = 13
earlyspring = 2
earnest = 7
earnestness = 2
ears = 16
earth = 2
ease = 7
easier = 2
easiertwould = 2
easily = 4
easilythe = 7
east = 17
eastern = 2
eastseparating = 2
eastthe = 2
easy = 25
easyyou = 2
eat = 2
ebb = 7
ebenezer = 4
ebook = 26
ebooks = 11
ebooksredistribution = 2
ebooksthe = 1
echoing = 2
edge = 51
edgeshes = 2
edgetis = 2
edgewhen = 2
edinburghcopyright = 7
editiondr = 7
editionmost = 2
editions = 4
editionswill = 2
editionthe = 7
editors = 7
educational = 2
edwards = 7
effect = 11
effectwhen = 2
effort = 20
efforts = 6
egg = 2
eggs = 7
eight = 7
eightshorter = 7
eightymiles = 2
ein = 2
either = 24
ejaculate = 7
ejaculated = 7
ejaculation = 7
ejaculationsdrifted = 2
ejecting = 7
elatedlythe = 2
elation = 2
elationtake = 2
elect = 2
electronic = 36
electronically = 4
electronicworks = 2
electronicworksprofessor = 2
electronicworkssee = 2
element = 9
eleven = 7
eli = 186
elilooked = 7
elis = 16
eliscottage = 7
elisdripping = 7
elisha = 10
eliwas = 7
elizitt = 2
else = 29
elsecould = 2
elsewas = 2
elsewhere = 7
elsewheredoubtlesson = 2
eluded = 9
email = 4
embarked = 2
embarrassment = 7
embraced = 2
emerged = 2
emergencies = 7
emergenciesso = 2
emergency = 7
emmy = 7
emotion = 2
employee = 2
employees = 4
employers = 2
emptyhandedi = 7
emthe = 2
enchanting = 7
encircledhis = 7
encounter = 6
encounters = 9
encouraged = 2
encouragement = 7
encouragementi = 2
encouragementthe = 2
encouragingword = 2
end = 64
endearments = 7
endedpainfully = 7
endsome = 7
endurance = 2
endure = 9
enemy = 21
energy = 2
engine = 2
enginecomes = 7
engineer = 2
engineers = 2
engineroom = 2
engines = 20
enginesarchie = 2
engineswere = 2
englee = 2
english = 6
englishstart = 7
enough = 82
enoughand = 7
enoughin = 2
enoughit = 2
enoughmaybe = 2
enoughthe = 2
ensued = 2
ensuring = 2
entanglement = 7
entered = 15
enteredinto = 2
entire = 2
entity = 2
entityproviding = 2
entrance = 17
entranceif = 2
entrancelay = 7
environmentbut = 7
envy = 2
equality = 2
equilibriumof = 2
equipment = 2
equipment1f2limited = 2
equipmentmany = 2
equipped = 9
errors = 4
esblgel = 2
escape = 48
escapeand = 4
escaped = 12
escapefrom = 7
escapeit = 7
escapes = 2
especially = 4
espied = 7
essayed = 4
established = 7
esther = 6
estimate = 2
ethnological = 7
even = 44
evenfor = 2
evening = 16
eveningtwilight = 2
evenpublicly = 2
evenslower = 2
evensure = 2
event = 22
evento = 2
events = 2
ever = 49
everand = 7
everincreasing = 2
everknowedan = 7
evermore = 7
everwont = 7
every = 82
everybody = 4
everyfaculty = 7
everyfisherman = 2
everyhand = 2
everystep = 2
everythingcould = 2
everywhere = 9
evesure = 2
evetibbs = 2
evidence = 2
evident = 18
evidently = 9
evidentlyanxious = 2
evidentthat = 2
eviltempered = 2
exaggerated = 2
exaggerateddescriptions = 7
exaggeratedhe = 7
examination = 7
examinationleave = 7
except = 11
exchanged = 2
excited = 17
excitedly = 9
excitedlybehind = 2
excitement = 15
excitementbutthe = 2
excitementstrike = 2
excitingencounter = 7
exclaim = 7
exclaimed = 25
exclaimedbut = 2
exclamation = 7
exclusion = 2
excuse = 2
excuses = 2
executive = 2
exempt = 2
exemptstatus = 2
exert = 2
exerted = 2
exertedby = 2
exertion = 2
exhausted = 14
exhaustedbobby = 7
exhaustion = 9
existsbecause = 2
exit = 7
expanse = 2
expect = 4
expectation = 9
expected = 11
expectedof = 7
expectin = 7
expecting = 7
expectingnone = 2
expeditions = 2
expend = 2
expense = 2
expenses = 4
experience = 8
experienceof = 2
experiences = 9
explain = 7
explained = 9
explainedbilly = 7
explainedthe = 7
explanation = 2
explanationthe = 9
explode = 2
exploits = 2
explosion = 2
exporting = 2
expose = 7
exposed = 4
exposedand = 7
exposure = 2
express = 2
expression = 2
extended = 7
extentpermitted = 2
extinguished = 2
extractedfrom = 7
extreme = 6
extremely = 2
extremity = 2
exuberant = 7
exultation = 7
exultedat = 2
eye = 21
eyebrows = 2
eyebrowswelltheys = 2
eyed = 4
eyedto = 2
eyeing = 2
eyes = 78
eyesfrom = 2
eyesshineto = 2
eyesthelight = 2
eyesthen = 7
eyestis = 2
eyeswhats = 2
fabulous = 10
face = 75
faceay = 7
faced = 18
faceeasy = 7
faces = 4
facewill = 2
facilitywwwgutenbergorgthis = 2
fact = 14
factory = 2
fading = 11
fail = 9
failed = 16
failedto = 7
failingwhen = 7
failtis = 7
failure = 13
failures = 2
faint = 7
fainted = 7
faintlybilly = 2
faintness = 7
fair = 20
fairhonesthearted = 2
fairly = 20
fairlyflaring = 7
fairlyleaped = 2
fairlystarted = 2
faith = 2
faithful = 7
faithfulnesshe = 7
fall = 47
fallaway = 7
fallen = 22
fallenshort = 7
fallin = 2
falling = 17
fallingfalling = 2
fallinout = 2
falllight = 2
falls = 9
false = 2
faltered = 2
falteredhe = 2
familiar = 11
families = 2
family = 8
famished = 2
famous = 2
fancied = 4
fanning = 2
far = 95
faras = 2
farawayplace = 2
farbut = 7
faroff = 11
farther = 24
farthermostparts = 2
farthest = 7
farthey = 7
fashion = 19
fast = 81
fastened = 7
faster = 15
fastnarrowing = 7
fat = 34
fatan = 2
fate = 4
father = 54
fatherlead = 2
fathers = 4
fatherwhen = 2
fathom = 11
fathoms = 13
fats = 4
fatwhatever = 2
favourable = 7
favoured = 9
fear = 30
feared = 17
fearful = 15
fearfully = 2
feari = 2
fearless = 12
fearlessly = 4
fearlesslychapter = 2
fearthe = 2
feathers = 7
fed = 7
federal = 4
fee = 16
feel = 22
feelbad = 7
feeleasier = 7
feelin = 7
feeling = 23
fees = 2
feesor = 2
feesthat = 2
feet = 87
feeta = 7
feetillustration = 7
feetlong = 7
feetthe = 7
feetthere = 7
feetwhen = 2
fell = 48
fellarchie = 2
fellback = 7
fellhe = 2
fellow = 22
fellowgood = 7
fellows = 15
fellwhen = 2
felt = 52
fend = 2
fended = 7
ferociousa = 7
ferocity = 7
ferry = 2
fetch = 14
fever = 2
few = 52
fewminutes = 2
fewthings = 2
field = 46
fields = 28
fieldscome = 2
fieldsthe = 2
fieldthat = 7
fierce = 2
fiercely = 9
fiery = 2
fifteen = 2
fifteenmore = 7
fifth = 10
fifty = 15
fiftynine = 2
fight = 20
fightill = 2
fighting = 10
figure = 6
figurelist = 7
figureswith = 2
file = 4
fileone = 2
files = 4
fill = 14
filled = 12
fillin = 2
financial = 2
finback = 13
finbacklay = 2
finbacks = 4
find = 44
findat = 7
finding = 7
findingmyself = 2
finds = 12
findsperil = 7
findthere = 2
fine = 32
finely = 2
finer = 2
fineregard = 2
finest = 4
fingeredthe = 2
fingers = 13
fingershe = 7
finish = 2
finned = 2
fins = 2
fiords = 7
fire = 42
fireay = 7
fired = 4
fires = 4
firewith = 2
firinall = 2
firing = 4
firm = 22
firmer = 2
firmfixed = 2
firmof = 2
firmyou = 2
first = 105
firstadventure = 7
firsthand = 2
firsthaulhooray = 7
firsthe = 7
firsthundred = 7
firstman = 2
firstthe = 7
firstwell = 2
fish = 48
fished = 9
fisher = 7
fisheries = 7
fisherman = 9
fishermans = 7
fishermen = 24
fishermenhad = 2
fishermenthat = 7
fishfrom = 2
fishhe = 7
fishing = 27
fishingchapter = 2
fishingline = 7
fishingwith = 7
fishloreof = 7
fists = 2
fistsout = 7
fit = 9
fitfor = 7
fitness = 2
fitting = 9
five = 21
fivegoodsized = 2
fix = 15
fixed = 15
flabby = 9
flag = 9
flagflyin = 2
flags = 16
flagsagain = 2
flagsnnno = 2
flagsto = 2
flagthe = 2
flakea = 7
flakes = 15
flakethe = 7
flaplike = 7
flared = 2
flaring = 9
flash = 33
flashed = 13
flashesstruckbillys = 2
flashing = 7
flat = 2
flatbottomed = 7
flatbottomedcraft = 7
fleet = 28
fleetest = 2
fleetfor = 2
fleeting = 2
fleetthe = 2
flesh = 2
flexible = 7
flier = 7
flies = 9
flight = 2
flimsy = 7
fling = 7
flintlock = 7
flippers = 6
float = 9
floated = 12
floatednor = 7
floating = 24
floe = 94
floeat = 7
floechapter = 7
floeice = 2
floes = 4
floeshifting = 2
floethere = 7
floewhat = 7
flooded = 2
floor = 4
florid = 2
flour = 12
fluffy = 9
flung = 11
flurriedhe = 7
flush = 9
flushing = 2
flutter = 7
fluttering = 10
fly = 7
flying = 11
flyingfor = 2
foam = 10
foaming = 7
focsle = 4
foeneeding = 2
fog = 6
fogcame = 2
fogfrom = 2
fogthe = 7
fogwas = 2
foldsthe = 2
folk = 17
folkare = 7
folkin = 2
folks = 7
follow = 22
followed = 58
followedthen = 2
following = 29
followingthe = 2
folly = 7
food = 10
fool = 16
foolish = 10
foolishness = 7
foot = 64
foota = 7
foothold = 23
footing = 4
footmissed = 2
footnote = 2
footwith = 2
for = 966
fora = 6
foradventurebill = 7
forard = 4
foray = 2
forbait = 7
forbears = 10
forbidding = 7
forbill = 2
forbut = 2
force = 49
forced = 20
forcehimself = 7
forcewasted = 2
forcibly = 2
forcing = 7
fore = 4
foreanafter = 9
foreandafter = 2
foreboom = 2
forecastle = 12
forecastleto = 2
foremast = 2
foremost = 2
foremostand = 2
foremoststill = 7
forepaws = 7
foresail = 2
foresaw = 2
foreseen = 2
foresl = 2
foretop = 2
forever = 2
forgave = 2
forged = 11
forget = 8
forgive = 2
forgiveme = 2
forgivin = 2
forgotten = 11
forgottenbilly = 7
forgulls = 7
forhadhe = 7
forhe = 7
forhelpbobbyohbobbyif = 2
forhimself = 7
forhis = 7
forhours = 2
fori = 2
forif = 7
forit = 9
form = 21
format = 8
formation = 2
formats = 4
formed = 24
formedin = 2
former = 4
formhowever = 2
forming = 2
formless = 2
forms = 9
forstandin = 2
forth = 31
forthat = 7
forthe = 18
forthey = 7
forthin = 2
fortis = 7
fortitude = 2
fortoil = 7
fortune = 27
fortuneharbour = 2
fortunes = 9
fortuneswith = 7
forty = 15
fortythree = 2
forward = 54
forwardbilly = 7
forwarddeck = 2
forwardheavy = 2
forwardto = 2
forwhat = 7
forwhom = 2
foryour = 7
foster = 7
fought = 9
foughtdesperately = 2
fouled = 2
found = 69
foundation = 30
foundationand = 4
foundationor = 2
foundationproject = 2
foundationroyalty = 2
foundations = 4
founded = 2
foundmost = 2
foundmuch = 2
fountains = 7
four = 31
fourdollars = 2
fourfoot = 2
fourmonthsmight = 2
fourth = 12
fourthstepping = 2
fox = 10
fragments = 23
fragmentsbroken = 7
frank = 4
frantic = 4
frantically = 7
franticeffort = 7
franticwas = 7
frayed = 2
free = 28
freed = 7
freedhimself = 2
freedistribution = 4
freely = 11
freethere = 2
freezing = 2
freighttrain = 7
french = 2
frenziedby = 7
frequent = 10
fresh = 9
freshened = 7
fresheninggusty = 7
fret = 2
fretabout = 2
fretful = 9
fretted = 2
friction = 2
friend = 12
friendly = 2
friends = 12
fright = 11
frightened = 18
frightful = 2
from = 552
fromabovehow = 2
frombehind = 2
frombehindinstant = 2
fromboth = 2
fromcopying = 2
fromcottage = 2
fromexperience = 2
fromhis = 2
fromif = 2
fromold = 2
fromoutside = 2
frompeople = 2
fromshore = 2
fromstem = 2
fromthat = 2
fromthe = 27
fromtime = 7
fromwhere = 7
frost = 9
frostbitten = 2
frosty = 11
frothi = 7
frothin = 7
frothy = 11
frown = 2
frowned = 4
frozen = 14
frozenand = 7
frozenstiff = 2
fuel = 7
fulfilled = 7
fulfillmentay = 7
full = 65
fullsteam = 4
fullweight = 2
fully = 6
fullydetermined = 2
fullypossessed = 7
fumbled = 7
funnel = 2
fur = 28
furious = 11
furiously = 2
furiouslylashed = 7
furiouslyuntilthe = 7
furled = 7
furs = 2
further = 15
furtheremboldened = 7
furtheropportunities = 2
fuss = 2
futility = 7
future = 6
gaff = 51
gaffaninefoot = 2
gaffon = 2
gaffs = 2
gaffto = 2
gained = 14
gainin = 4
gaining = 9
gale = 69
galeat = 2
galehe = 7
galei = 2
gales = 2
galestop = 2
galethe = 4
gallant = 2
galvanized = 2
game = 4
gander = 7
gapeduntil = 2
gardens = 2
garment = 2
gasp = 10
gasped = 17
gaspedbail = 2
gaspedeli = 7
gaspedtough = 2
gasping = 7
gaspinghe = 7
gasps = 2
gathered = 28
gathering = 9
gatheringdusk = 7
gatherstrength = 2
gauge = 2
gaunthaggard = 2
gave = 57
gazed = 13
gazing = 2
gear = 10
gearand = 7
geareli = 7
gearthe = 7
gee = 7
general = 6
generallyregarded = 2
generations = 12
generationsof = 7
generationsto = 2
generous = 4
generously = 7
generoustreatment = 2
gentle = 6
gently = 2
gentlyand = 7
gentlyheave = 2
gesture = 9
gesturesand = 2
get = 130
getbacki = 2
getbadly = 2
gethis = 7
gets = 24
getslost = 7
gettin = 4
getting = 21
gettingthe = 7
gettingthick = 7
gggo = 2
ggguess = 2
ghostlike = 7
giant = 19
giantsquid = 7
giantsquids = 7
gift = 9
gigantic = 12
giganticspecies = 7
ginger = 10
gingerale = 7
gingerly = 9
girth = 4
give = 55
given = 20
gives = 10
giveshimself = 9
giving = 20
givingme = 7
glacier = 2
glaciericebergs = 2
glad = 28
gladly = 2
glance = 35
glanced = 4
glances = 2
glass = 6
glazed = 7
gleam = 7
gleaming = 2
gleefully = 2
glimpse = 7
glistened = 2
glistening = 9
glitter = 2
glitteredtis = 7
gloom = 4
gloomy = 7
glorious = 2
glow = 9
glowed = 2
glowing = 14
glowingeveningred = 7
glowon = 2
glowwarmth = 7
glue = 7
glued = 2
go = 96
go305were = 7
goa = 2
goal = 2
goat = 2
goatpaths = 2
goats = 7
goatskin = 2
god = 20
goes = 32
goesabroad = 7
goin = 45
going = 13
goingfrom = 7
gointhe = 2
goinwhat = 2
goit = 2
gold = 7
gone = 40
gonetopsail = 7
gonetwenty = 2
goneyoull = 2
good = 88
gooda = 7
goodberth = 7
goodbye = 9
goodending = 2
goodhumouredly = 2
goodman = 7
goodnaturedcontempt = 2
goodnight = 2
goodpartners = 7
goods = 2
goodship = 2
goodt = 7
got = 74
gothat = 7
gother = 2
gotthe = 7
government = 4
governor = 2
governwhat = 2
grace = 4
gradually = 2
grand = 7
grandfather = 2
grandly = 4
grandmothers = 7
granted = 2
grapnel = 16
grapneland = 7
grapple = 7
grasp = 10
graspthe = 7
grassy = 7
grateful = 2
gratefully = 2
gratification = 7
gravely = 8
gravewhy = 2
graveyard = 7
gray = 28
great = 121
greatchance = 2
greatdrafthorse = 7
greater = 24
greaterweight = 2
greatfields = 2
greatgale = 2
greatly = 2
greatshifting = 2
green = 20
greenbay = 4
greenlanddisaster = 2
greenthe = 2
greethimfootnote5 = 2
greetingto = 2
gregarious = 2
gregory = 2
grenfell = 10
grenfells = 10
grew = 2
grim = 9
grimly = 14
grin = 11
grind = 2
grinding = 17
grindingcrashing = 7
grinning = 16
grip = 27
gripping = 7
gripwere = 2
groais = 2
groan = 2
groaned = 6
groaningto = 2
groped = 2
gropingsearch = 2
gross = 2
ground = 21
grounded = 7
groundprecipitate = 7
grounds = 24
groundsfarout = 7
groundsno = 7
groundsthe = 2
groundstogether = 7
groundswell = 7
group = 22
groups = 6
growing = 12
growinwonderful = 7
growled = 10
growler = 21
growlers = 2
growlin = 2
grown = 4
grownweary = 2
grows = 7
grub = 16
gruffvoiced = 7
grumbled = 2
guidanceof = 7
guide = 13
guidin = 2
guilt = 7
gulf = 10
gull = 4
gulls = 13
gullswings = 7
gulpwill = 2
gun = 35
gunagh = 2
guns = 10
gunthe = 2
gunthey = 2
gunwale = 19
gunwalegood = 2
gunwaleno = 7
gunwaleof = 7
gunwales = 4
gunwalethe = 7
gurgle = 2
gust = 26
gustcaught = 7
gusts = 6
gustsmen = 2
gusty = 9
gutenberg = 50
gutenberg1e1the = 2
gutenbergare = 2
gutenbergliterary = 4
gutenbergtm = 66
gutenbergtm1e5do = 2
gutenbergtmcollectiondespite = 2
gutenbergtmconcept = 2
gutenbergtmelectronic = 6
gutenbergtmincluding = 2
gutenbergtmlicense = 4
gutenbergtmlicenseyou = 2
gutenbergtmproject = 2
gutenbergtmsgoals = 2
gutenbergtmwork = 2
guttural = 2
h = 13
habit = 7
habitation = 2
habits = 10
habitual = 2
had = 1013
hada = 7
hadalready = 7
hadanyhow = 7
hadbeen = 15
hadblocked = 7
hadcared = 7
hadcaught = 2
hadclimbed = 7
hadclosed = 2
haddared = 2
haddeliberately = 2
haddisappeared = 10
hadfearedah = 2
hadforeseen = 2
hadgenerally = 7
hadgone = 2
hadhe = 2
hadheard = 2
hadinstinctively = 7
hadjoined = 2
hadkept = 2
hadlearned = 7
hadnever = 2
hadnot = 7
hadnt = 13
hadoccasioned = 2
hadon = 2
hadovercast = 2
hadraised = 2
hadrecovered = 2
hadrepudiated = 2
hadspent = 2
hadstrayed = 2
hadstruck = 2
hadstuck = 7
hadsucceeded = 2
hadthe = 10
hadthem = 2
hadthought = 2
hadtried = 2
haggard = 2
hailbut = 7
hailed = 10
hailthey = 2
hair = 9
hairy = 2
half = 95
halfa = 7
halfhour = 7
halfpast = 2
halfstarved = 2
halfway = 7
halfwaypoint = 7
halted = 2
halyards = 2
hand = 203
handand = 11
handed = 9
handedover = 7
handfor = 2
handhold = 10
handicap = 7
handit = 7
handkerchief = 4
handkerckief = 2
handled = 7
hands = 54
handshows = 2
handslads = 2
handslooks = 2
handsnearer = 2
handso = 2
handsthe = 4
handswith = 7
handthe = 4
handtohand = 2
handtouched = 7
handwere = 2
handy = 13
hang = 12
hangin = 7
hanging = 13
haphazard = 2
happen = 10
happened = 15
happily = 7
happy = 9
harbour = 133
harbourentrance = 2
harbourice = 2
harbourin = 7
harbournot = 7
harbours = 11
harbourthe = 7
harbourthese = 7
harbourwhat = 7
harbourwho = 2
harbouryes = 2
hard = 53
hardearned = 7
harder = 10
hardfeaturedillclad = 7
hardfishinthe = 2
hardit = 7
hardly = 9
hardlydiscernible = 7
hardlyperceptible = 7
hardreport = 2
hardship = 16
hardt = 7
hardy = 7
harkt = 2
harmlesslypast = 7
harms = 9
harness = 7
harp = 4
harpoon = 4
harpoonif = 2
harpoonitselfit = 2
harpoonup = 2
harps = 8
harshened = 2
harsher = 2
hart = 2
harvest = 4
harvestand = 2
has = 47
hasdealt = 2
hasnt = 9
haste = 45
hastelead = 2
hastewhat = 2
hastily = 7
hatch = 2
hateful = 2
haul = 21
hauled = 14
hauledit = 7
hauling = 7
hauls = 2
haunt = 2
haunting = 2
haunts = 10
have = 246
havea = 7
havebeen = 10
havehad = 7
havesaid = 2
havestayedfor = 2
havethe = 7
havethere = 7
haveun = 7
having = 8
hazards = 4
hazardschapter = 7
hazardswhen = 7
haze = 9
he = 2345
head = 95
headand = 2
headbeneath = 7
headi = 2
headif = 7
headillustration = 2
headlands = 13
headlong = 2
headnevertheless = 2
headrocks = 2
heads = 13
headsto = 2
headvanced = 2
headway = 2
headwayand = 2
heand = 2
heap = 20
heapedup = 2
heapingthem = 2
heaps = 12
hear = 51
heard = 58
heardid = 7
hearing = 11
hears = 10
hearstheres = 2
heart = 36
heartand = 2
hearthe = 2
heartily = 9
hearts = 21
hearty = 2
heat = 6
heated = 2
heave = 7
heaves = 2
heavier = 2
heavily = 12
heavilyover = 2
heaving = 20
heavy = 38
heavyan = 2
heavycold = 7
heavyfellowtheys = 2
heavyflakes = 2
heavygod = 2
heavyweather = 2
hecame = 4
heclimbed = 2
hecontinued = 4
hecould = 9
